FAC 1.1.5
Endian	= 0
TSess	= 1599226448
Type	= 1
Verbose	= 1
Fe Z	=  26.0
NBlocks	= 1
E0	= 0, -3.12294722E+04

NELE	= 10
NLEV	= 241
  ILEV  IBASE    ENERGY       P   VNL   2J
   140     -1  1.14438461E+03 0   601    2 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p+1(3)2
   141     -1  1.14456605E+03 0   601    4 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p+1(3)4
   142     -1  1.14576768E+03 0   601    0 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p+1(3)0
   143     -1  1.14797375E+03 1   403    4 1*2.2*7.4*1                      2s1.4f1                                          2s+1(1)1.4f-1(5)4
   144     -1  1.14807188E+03 1   403    6 1*2.2*7.4*1                      2s1.4f1                                          2s+1(1)1.4f+1(7)6
   145     -1  1.14827992E+03 1   403    8 1*2.2*7.4*1                      2s1.4f1                                          2s+1(1)1.4f+1(7)8
   146     -1  1.14831065E+03 1   403    6 1*2.2*7.4*1                      2s1.4f1                                          2s+1(1)1.4f-1(5)6
   147     -1  1.14846474E+03 1   602    0 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d-1(3)0
   148     -1  1.14858153E+03 1   602    2 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d-1(3)2
   149     -1  1.14870213E+03 1   602    8 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d+1(5)8
   150     -1  1.14876026E+03 1   602    4 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d+1(5)4
   151     -1  1.14878529E+03 1   602    6 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d-1(3)6
   152     -1  1.14890802E+03 1   602    4 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d-1(3)4
   153     -1  1.14902206E+03 1   602    6 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d+1(5)6
   154     -1  1.14976497E+03 1   602    2 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d+1(5)2
   155     -1  1.15087189E+03 0   603   10 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f+1(7)10
   156     -1  1.15087638E+03 0   603    8 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f-1(5)8
   157     -1  1.15091152E+03 0   603    2 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f-1(5)2
   158     -1  1.15095429E+03 0   603    4 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f+1(7)4
   159     -1  1.15102056E+03 0   603    6 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f-1(5)6
   160     -1  1.15103311E+03 0   603    6 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f+1(7)6
   161     -1  1.15105361E+03 0   603    8 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f+1(7)8
   162     -1  1.15105598E+03 0   603    4 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f-1(5)4
   163     -1  1.15118299E+03 1   604   10 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g-1(7)10
   164     -1  1.15119519E+03 1   604   12 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g+1(9)12
   165     -1  1.15123600E+03 0   605    6 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h-1(9)6
   166     -1  1.15124472E+03 0   605    8 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h+1(11)8
   167     -1  1.15125540E+03 0   605   12 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h-1(9)12
   168     -1  1.15126461E+03 0   605   14 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h+1(11)14
   169     -1  1.15127293E+03 1   604    8 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g-1(7)8
   170     -1  1.15128598E+03 1   604   10 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g+1(9)10
   171     -1  1.15128946E+03 0   605    8 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h-1(9)8
   172     -1  1.15129751E+03 0   605   10 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h+1(11)10
   173     -1  1.15130606E+03 0   605   10 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h-1(9)10
   174     -1  1.15131443E+03 0   605   12 1*2.2*7.6*1                      2p5.6h1                                          2p+3(3)3.6h+1(11)12
   175     -1  1.15147450E+03 1   604    6 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g-1(7)6
   176     -1  1.15148868E+03 1   604    8 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g+1(9)8
   177     -1  1.15167497E+03 1   604    4 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g-1(7)4
   178     -1  1.15169896E+03 1   604    6 1*2.2*7.6*1                      2p5.6g1                                          2p+3(3)3.6g+1(9)6
   179     -1  1.15299982E+03 1   600    0 1*2.2*7.6*1                      2p5.6s1                                          2p-1(1)1.6s+1(1)0
   180     -1  1.15308760E+03 1   600    2 1*2.2*7.6*1                      2p5.6s1                                          2p-1(1)1.6s+1(1)2
   181     -1  1.15672203E+03 0   601    2 1*2.2*7.6*1                      2p5.6p1                                          2p-1(1)1.6p-1(1)2
   182     -1  1.15703602E+03 0   601    2 1*2.2*7.6*1                      2p5.6p1                                          2p-1(1)1.6p+1(3)2
   183     -1  1.15710518E+03 0   601    4 1*2.2*7.6*1                      2p5.6p1                                          2p-1(1)1.6p+1(3)4
   184     -1  1.15764765E+03 0   601    0 1*2.2*7.6*1                      2p5.6p1                                          2p-1(1)1.6p-1(1)0
   185     -1  1.16143122E+03 1   602    4 1*2.2*7.6*1                      2p5.6d1                                          2p-1(1)1.6d-1(3)4
   186     -1  1.16149460E+03 1   602    4 1*2.2*7.6*1                      2p5.6d1                                          2p-1(1)1.6d+1(5)4
   187     -1  1.16157420E+03 1   602    6 1*2.2*7.6*1                      2p5.6d1                                          2p-1(1)1.6d+1(5)6
   188     -1  1.16202683E+03 1   602    2 1*2.2*7.6*1                      2p5.6d1                                          2p-1(1)1.6d-1(3)2
   189     -1  1.16363197E+03 0   603    6 1*2.2*7.6*1                      2p5.6f1                                          2p-1(1)1.6f-1(5)6
   190     -1  1.16366878E+03 0   603    8 1*2.2*7.6*1                      2p5.6f1                                          2p-1(1)1.6f+1(7)8
   191     -1  1.16369481E+03 0   603    6 1*2.2*7.6*1                      2p5.6f1                                          2p-1(1)1.6f+1(7)6
   192     -1  1.16372010E+03 0   603    4 1*2.2*7.6*1                      2p5.6f1                                          2p-1(1)1.6f-1(5)4
   193     -1  1.16393754E+03 1   604    8 1*2.2*7.6*1                      2p5.6g1                                          2p-1(1)1.6g-1(7)8
   194     -1  1.16395207E+03 1   604   10 1*2.2*7.6*1                      2p5.6g1                                          2p-1(1)1.6g+1(9)10
   195     -1  1.16399239E+03 0   605    8 1*2.2*7.6*1                      2p5.6h1                                          2p-1(1)1.6h-1(9)8
   196     -1  1.16399716E+03 0   605   10 1*2.2*7.6*1                      2p5.6h1                                          2p-1(1)1.6h-1(9)10
   197     -1  1.16399775E+03 1   604    6 1*2.2*7.6*1                      2p5.6g1                                          2p-1(1)1.6g-1(7)6
   198     -1  1.16400162E+03 0   605   10 1*2.2*7.6*1                      2p5.6h1                                          2p-1(1)1.6h+1(11)10
   199     -1  1.16400651E+03 0   605   12 1*2.2*7.6*1                      2p5.6h1                                          2p-1(1)1.6h+1(11)12
   200     -1  1.16401017E+03 1   604    8 1*2.2*7.6*1                      2p5.6g1                                          2p-1(1)1.6g+1(9)8
   201     -1  1.21834885E+03 0   500    2 1*2.2*7.5*1                      2s1.5s1                                          2s+1(1)1.5s+1(1)2
   202     -1  1.21936665E+03 0   500    0 1*2.2*7.5*1                      2s1.5s1                                          2s+1(1)1.5s+1(1)0
   203     -1  1.22495170E+03 1   501    0 1*2.2*7.5*1                      2s1.5p1                                          2s+1(1)1.5p-1(1)0
   204     -1  1.22502697E+03 1   501    2 1*2.2*7.5*1                      2s1.5p1                                          2s+1(1)1.5p-1(1)2
   205     -1  1.22549600E+03 1   501    4 1*2.2*7.5*1                      2s1.5p1                                          2s+1(1)1.5p+1(3)4
   206     -1  1.22578556E+03 1   501    2 1*2.2*7.5*1                      2s1.5p1                                          2s+1(1)1.5p+1(3)2
   207     -1  1.23316583E+03 0   502    2 1*2.2*7.5*1                      2s1.5d1                                          2s+1(1)1.5d-1(3)2
   208     -1  1.23319920E+03 0   502    4 1*2.2*7.5*1                      2s1.5d1                                          2s+1(1)1.5d-1(3)4
   209     -1  1.23326243E+03 0   502    6 1*2.2*7.5*1                      2s1.5d1                                          2s+1(1)1.5d+1(5)6
   210     -1  1.23403610E+03 0   502    4 1*2.2*7.5*1                      2s1.5d1                                          2s+1(1)1.5d+1(5)4
   211     -1  1.23696160E+03 1   503    4 1*2.2*7.5*1                      2s1.5f1                                          2s+1(1)1.5f-1(5)4
   212     -1  1.23697146E+03 1   503    6 1*2.2*7.5*1                      2s1.5f1                                          2s+1(1)1.5f-1(5)6
   213     -1  1.23699491E+03 1   503    8 1*2.2*7.5*1                      2s1.5f1                                          2s+1(1)1.5f+1(7)8
   214     -1  1.23710540E+03 1   503    6 1*2.2*7.5*1                      2s1.5f1                                          2s+1(1)1.5f+1(7)6
   215     -1  1.23743844E+03 0   504    8 1*2.2*7.5*1                      2s1.5g1                                          2s+1(1)1.5g-1(7)8
   216     -1  1.23743966E+03 0   504    6 1*2.2*7.5*1                      2s1.5g1                                          2s+1(1)1.5g-1(7)6
