FAC 1.1.5
Endian	= 0
TSess	= 1570375361
Type	= 1
Verbose	= 1
Ge Z	=  32.0
NBlocks	= 1
E0	= 0, -4.90495729E+04

NELE	= 10
NLEV	= 241
  ILEV  IBASE    ENERGY       P   VNL   2J
   102     -1  1.88838138E+03 0   503    6 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f-1(5)6
   103     -1  1.88839935E+03 0   503    4 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f-1(5)4
   104     -1  1.88850842E+03 0   503    8 1*2.2*7.5*1                      2p5.5f1                                          2p+3(3)3.5f+1(7)8
   105     -1  1.88852457E+03 1   504    4 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g-1(7)4
   106     -1  1.88861211E+03 1   504    6 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g+1(9)6
   107     -1  1.88883874E+03 1   504   10 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g-1(7)10
   108     -1  1.88890772E+03 1   504    6 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g-1(7)6
   109     -1  1.88891599E+03 1   504   12 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g+1(9)12
   110     -1  1.88896712E+03 1   504    8 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g+1(9)8
   111     -1  1.88908393E+03 1   504    8 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g-1(7)8
   112     -1  1.88915606E+03 1   504   10 1*2.2*7.5*1                      2p5.5g1                                          2p+3(3)3.5g+1(9)10
   113     -1  1.89367382E+03 1   500    0 1*2.2*7.5*1                      2p5.5s1                                          2p-1(1)1.5s+1(1)0
   114     -1  1.89388190E+03 1   500    2 1*2.2*7.5*1                      2p5.5s1                                          2p-1(1)1.5s+1(1)2
   115     -1  1.90212550E+03 0   501    2 1*2.2*7.5*1                      2p5.5p1                                          2p-1(1)1.5p-1(1)2
   116     -1  1.90367417E+03 0   501    4 1*2.2*7.5*1                      2p5.5p1                                          2p-1(1)1.5p+1(3)4
   117     -1  1.90411117E+03 0   501    2 1*2.2*7.5*1                      2p5.5p1                                          2p-1(1)1.5p+1(3)2
   118     -1  1.90481480E+03 0   501    0 1*2.2*7.5*1                      2p5.5p1                                          2p-1(1)1.5p-1(1)0
   119     -1  1.90516610E+03 0   402    6 1*2.2*7.4*1                      2s1.4d1                                          2s+1(1)1.4d+1(5)6
   120     -1  1.90524333E+03 0   402    2 1*2.2*7.4*1                      2s1.4d1                                          2s+1(1)1.4d-1(3)2
   121     -1  1.90528266E+03 0   402    4 1*2.2*7.4*1                      2s1.4d1                                          2s+1(1)1.4d-1(3)4
   122     -1  1.90767736E+03 0   402    4 1*2.2*7.4*1                      2s1.4d1                                          2s+1(1)1.4d+1(5)4
   123     -1  1.91480010E+03 1   502    4 1*2.2*7.5*1                      2p5.5d1                                          2p-1(1)1.5d-1(3)4
   124     -1  1.91515974E+03 1   502    4 1*2.2*7.5*1                      2p5.5d1                                          2p-1(1)1.5d+1(5)4
   125     -1  1.91530676E+03 1   502    6 1*2.2*7.5*1                      2p5.5d1                                          2p-1(1)1.5d+1(5)6
   126     -1  1.91580070E+03 1   403    6 1*2.2*7.4*1                      2s1.4f1                                          2s+1(1)1.4f-1(5)6
   127     -1  1.91587270E+03 1   403    8 1*2.2*7.4*1                      2s1.4f1                                          2s+1(1)1.4f+1(7)8
   128     -1  1.91630781E+03 1   502    2 1*2.2*7.5*1                      2p5.5d1                                          2p-1(1)1.5d-1(3)2
   129     -1  1.91643980E+03 1   403    4 1*2.2*7.4*1                      2s1.4f1                                          2s+1(1)1.4f-1(5)4
   130     -1  1.91687756E+03 1   403    6 1*2.2*7.4*1                      2s1.4f1                                          2s+1(1)1.4f+1(7)6
   131     -1  1.92072837E+03 0   503    6 1*2.2*7.5*1                      2p5.5f1                                          2p-1(1)1.5f-1(5)6
   132     -1  1.92089815E+03 0   503    8 1*2.2*7.5*1                      2p5.5f1                                          2p-1(1)1.5f+1(7)8
   133     -1  1.92095521E+03 0   503    4 1*2.2*7.5*1                      2p5.5f1                                          2p-1(1)1.5f-1(5)4
   134     -1  1.92098637E+03 0   503    6 1*2.2*7.5*1                      2p5.5f1                                          2p-1(1)1.5f+1(7)6
   135     -1  1.92159987E+03 1   504    8 1*2.2*7.5*1                      2p5.5g1                                          2p-1(1)1.5g-1(7)8
   136     -1  1.92168120E+03 1   504   10 1*2.2*7.5*1                      2p5.5g1                                          2p-1(1)1.5g+1(9)10
   137     -1  1.92225970E+03 1   504    6 1*2.2*7.5*1                      2p5.5g1                                          2p-1(1)1.5g-1(7)6
   138     -1  1.92234915E+03 1   504    8 1*2.2*7.5*1                      2p5.5g1                                          2p-1(1)1.5g+1(9)8
   139     -1  1.96086408E+03 1   600    4 1*2.2*7.6*1                      2p5.6s1                                          2p+3(3)3.6s+1(1)4
   140     -1  1.96108848E+03 1   600    2 1*2.2*7.6*1                      2p5.6s1                                          2p+3(3)3.6s+1(1)2
   141     -1  1.96600281E+03 0   601    2 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p-1(1)2
   142     -1  1.96618006E+03 0   601    4 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p-1(1)4
   143     -1  1.96690614E+03 0   601    6 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p+1(3)6
   144     -1  1.96698819E+03 0   601    2 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p+1(3)2
   145     -1  1.96725621E+03 0   601    4 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p+1(3)4
   146     -1  1.96890033E+03 0   601    0 1*2.2*7.6*1                      2p5.6p1                                          2p+3(3)3.6p+1(3)0
   147     -1  1.97262144E+03 1   602    0 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d-1(3)0
   148     -1  1.97280636E+03 1   602    2 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d-1(3)2
   149     -1  1.97303941E+03 1   602    6 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d-1(3)6
   150     -1  1.97306289E+03 1   602    8 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d+1(5)8
   151     -1  1.97311081E+03 1   602    4 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d-1(3)4
   152     -1  1.97330377E+03 1   602    4 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d+1(5)4
   153     -1  1.97350626E+03 1   602    6 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d+1(5)6
   154     -1  1.97456351E+03 1   602    2 1*2.2*7.6*1                      2p5.6d1                                          2p+3(3)3.6d+1(5)2
   155     -1  1.97616649E+03 0   603    2 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f-1(5)2
   156     -1  1.97625681E+03 0   603    8 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f-1(5)8
   157     -1  1.97627833E+03 0   603    4 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f-1(5)4
   158     -1  1.97629012E+03 0   603   10 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f+1(7)10
   159     -1  1.97644333E+03 0   603    6 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f-1(5)6
   160     -1  1.97649350E+03 0   603    6 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f+1(7)6
   161     -1  1.97652880E+03 0   603    4 1*2.2*7.6*1                      2p5.6f1                                          2p+3(3)3.6f+1(7)4
